MaSP,TenSP,DanhMuc,Gia,SoLuongTon,HinhAnh,MoTa,TrangThai,KichThuoc,ChatLieu,MauSac,BaoHanh,XuatXu,MoTaChiTiet
SP011,Thảm đá chùi chân hiện đại SP011,Phòng tắm,23410000,57,https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=600&q=80|https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80|https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=600&q=80|https://images.unsplash.com/photo-1542728928-1413d1894ed1?w=600&q=80,Thảm đá chùi chân chất liệu inox 304 xước mờ mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,97cm x 97cm x 40cm,Inox 304 xước mờ,Nâu hạt dẻ ấm áp,24 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Thảm đá chùi chân hiện đại SP011 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP012,Gương đứng soi toàn thân thông minh cao cấp SP012,Phòng ngủ,9260000,20,https://images.unsplash.com/photo-1533090161767-e6ffed986c88?w=600&q=80|https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=600&q=80|https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=600&q=80|https://images.unsplash.com/photo-1542728928-1413d1894ed1?w=600&q=80,Gương đứng soi toàn thân chất liệu cốt gỗ xanh chống ẩm mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,108cm x 75cm x 73cm,Cốt gỗ xanh chống ẩm,Nâu hạt dẻ ấm áp,24 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Gương đứng soi toàn thân thông minh cao cấp SP012 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP013,Sofa nỉ thông minh cao cấp SP013,Phòng khách,5450000,20,https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?w=600&q=80|https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=600&q=80|https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&q=80|https://images.unsplash.com/photo-1588854337236-6889d631faa8?w=600&q=80,Sofa nỉ chất liệu gỗ sồi tự nhiên mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,129cm x 73cm x 154cm,Gỗ Sồi tự nhiên,Vàng sồi tự nhiên,24 tháng,iDECOR Việt Nam,"Sản phẩm Sofa nỉ thông minh cao cấp SP013 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP014,Thảm trải sàn phong cách Japandi SP014,Phòng khách,7580000,25,https://images.unsplash.com/photo-1558882224-cca166733360?w=600&q=80|https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=600&q=80|https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=600&q=80|https://images.unsplash.com/photo-1593011403061-0b5c16503c20?w=600&q=80,Thảm trải sàn chất liệu gỗ sồi tự nhiên mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,180cm x 98cm x 58cm,Gỗ Sồi tự nhiên,Vàng sồi tự nhiên,12 tháng,iDECOR Việt Nam,"Sản phẩm Thảm trải sàn phong cách Japandi SP014 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP015,Kệ để đồ sau bồn cầu Retro hoài cổ SP015,Phòng tắm,18490000,18,https://images.unsplash.com/photo-1578500494198-246f612d3b3d?w=600&q=80|https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=600&q=80|https://images.unsplash.com/photo-1603006905003-be475563bc59?w=600&q=80|https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&q=80,Kệ để đồ sau bồn cầu chất liệu nhựa đặc pvc chịu nước tuyệt đối mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,225cm x 83cm x 184cm,Nhựa đặc PVC chịu nước tuyệt đối,Xanh mint pastel,36 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Kệ để đồ sau bồn cầu Retro hoài cổ SP015 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP016,Kệ chén đĩa âm tủ tối giản SP016,Phòng bếp,14460000,54,https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&q=80|https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80|https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80|https://images.unsplash.com/photo-1578500494198-246f612d3b3d?w=600&q=80,Kệ chén đĩa âm tủ chất liệu inox 304 mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,165cm x 97cm x 187cm,Inox 304,Xám đậm hiện đại,36 tháng,iDECOR Việt Nam,"Sản phẩm Kệ chén đĩa âm tủ tối giản SP016 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP017,Tủ Lavabo sang trọng SP017,Phòng tắm,20260000,32,https://images.unsplash.com/photo-1540518614846-7eded433c457?w=600&q=80|https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=600&q=80|https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=600&q=80|https://images.unsplash.com/photo-1593011403061-0b5c16503c20?w=600&q=80,Tủ Lavabo chất liệu phôi gương bỉ cao cấp mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,42cm x 55cm x 51cm,Phôi gương Bỉ cao cấp,Xanh mint pastel,12 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Tủ Lavabo sang trọng SP017 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP018,Tab đầu giường tối giản SP018,Phòng ngủ,5690000,32,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=600&q=80|https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80|https://images.unsplash.com/photo-1540518614846-7eded433c457?w=600&q=80|https://images.unsplash.com/photo-1556912173-3bb406ef7e77?w=600&q=80,Tab đầu giường chất liệu gỗ công nghiệp mdf phủ melamine mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,216cm x 50cm x 124cm,Gỗ công nghiệp MDF phủ Melamine,Ghi xám thanh lịch,24 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Tab đầu giường tối giản SP018 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP019,Tủ Lavabo thông minh cao cấp SP019,Phòng tắm,16630000,45,https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=600&q=80|https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=600&q=80|https://images.unsplash.com/photo-1578500494198-246f612d3b3d?w=600&q=80|https://images.unsplash.com/photo-1620626011761-996317b8d101?w=600&q=80,Tủ Lavabo chất liệu phôi gương bỉ cao cấp mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,157cm x 42cm x 162cm,Phôi gương Bỉ cao cấp,Vàng sồi tự nhiên,12 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Tủ Lavabo thông minh cao cấp SP019 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP020,Đệm lò xo túi Scandinavian SP020,Phòng ngủ,7920000,21,https://images.unsplash.com/photo-1542728928-1413d1894ed1?w=600&q=80|https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=600&q=80|https://images.unsplash.com/photo-1600121848594-d8644e57abab?w=600&q=80|https://images.unsplash.com/photo-1563245372-f21724e3856d?w=600&q=80,Đệm lò xo túi chất liệu cốt gỗ xanh chống ẩm mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,68cm x 43cm x 177cm,Cốt gỗ xanh chống ẩm,Ghi xám thanh lịch,24 tháng,iDECOR Việt Nam,"Sản phẩm Đệm lò xo túi Scandinavian SP020 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP021,Tab đầu giường thông minh cao cấp SP021,Phòng ngủ,21300000,6,https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80|https://images.unsplash.com/photo-1603006905003-be475563bc59?w=600&q=80|https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=600&q=80|https://images.unsplash.com/photo-1567538096630-e0c55bd6374c?w=600&q=80,Tab đầu giường chất liệu gỗ sồi nga mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,61cm x 60cm x 109cm,Gỗ Sồi Nga,Xám đậm hiện đại,12 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Tab đầu giường thông minh cao cấp SP021 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP022,Bàn trà gỗ Sồi hiện đại SP022,Phòng khách,11310000,30,https://images.unsplash.com/photo-1556911220-e15b29be8c8f?w=600&q=80|https://images.unsplash.com/photo-1593011403061-0b5c16503c20?w=600&q=80|https://images.unsplash.com/photo-1556912173-3bb406ef7e77?w=600&q=80|https://images.unsplash.com/photo-1620626011761-996317b8d101?w=600&q=80,Bàn trà gỗ Sồi chất liệu da bò thật mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,42cm x 86cm x 190cm,Da bò thật,Vàng sồi tự nhiên,12 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Bàn trà gỗ Sồi hiện đại SP022 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP023,Kệ sách đứng sang trọng SP023,Phòng khách,19360000,19,https://images.unsplash.com/photo-1600585154526-990dced4db0d?w=600&q=80|https://images.unsplash.com/photo-1540518614846-7eded433c457?w=600&q=80|https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80|https://images.unsplash.com/photo-1567538096630-e0c55bd6374c?w=600&q=80,Kệ sách đứng chất liệu vải nỉ hàn quốc mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,45cm x 91cm x 65cm,Vải nỉ Hàn Quốc,Trắng kem tối giản,36 tháng,iDECOR Việt Nam,"Sản phẩm Kệ sách đứng sang trọng SP023 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP024,Tủ giày thông minh hiện đại SP024,Phòng khách,13420000,57,https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=600&q=80|https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=600&q=80|https://images.unsplash.com/photo-1615066390971-03e4e1c36ddf?w=600&q=80|https://images.unsplash.com/photo-1563245372-f21724e3856d?w=600&q=80,Tủ giày thông minh chất liệu vải nỉ hàn quốc mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,118cm x 50cm x 175cm,Vải nỉ Hàn Quốc,Trắng kem tối giản,12 tháng,iDECOR Việt Nam,"Sản phẩm Tủ giày thông minh hiện đại SP024 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP025,Đôn ghế tròn Scandinavian SP025,Phòng khách,18400000,24,https://images.unsplash.com/photo-1593011403061-0b5c16503c20?w=600&q=80|https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=600&q=80|https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80|https://images.unsplash.com/photo-1513506003901-1e6a229e2d15?w=600&q=80,Đôn ghế tròn chất liệu da bò thật mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,56cm x 48cm x 182cm,Da bò thật,Xanh mint pastel,36 tháng,iDECOR Việt Nam,"Sản phẩm Đôn ghế tròn Scandinavian SP025 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP026,Ghế ăn bọc da Scandinavian SP026,Phòng bếp,19380000,15,https://images.unsplash.com/photo-1517256064527-09c53b2d0c6b?w=600&q=80|https://images.unsplash.com/photo-1583847268964-b28dc8f51f92?w=600&q=80|https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&q=80|https://images.unsplash.com/photo-1542728928-1413d1894ed1?w=600&q=80,Ghế ăn bọc da chất liệu mặt đá ceramic mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,62cm x 54cm x 192cm,Mặt đá Ceramic,Ghi xám thanh lịch,36 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Ghế ăn bọc da Scandinavian SP026 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP027,Tủ giày thông minh sang trọng SP027,Phòng khách,20000000,10,https://images.unsplash.com/photo-1556911220-e15b29be8c8f?w=600&q=80|https://images.unsplash.com/photo-1584622650111-993a426fbf0a?w=600&q=80|https://images.unsplash.com/photo-1563245372-f21724e3856d?w=600&q=80|https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?w=600&q=80,Tủ giày thông minh chất liệu gỗ mdf chống ẩm an cường mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,148cm x 63cm x 219cm,Gỗ MDF chống ẩm An Cường,Xám đậm hiện đại,12 tháng,iDECOR Thiết kế & Thi công,"Sản phẩm Tủ giày thông minh sang trọng SP027 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
SP028,Tủ quần áo sang trọng SP028,Phòng ngủ,1240000,55,https://images.unsplash.com/photo-1594758066227-d021c5b8b9ec?w=600&q=80|https://images.unsplash.com/photo-1522771739844-6a9f6d5f14af?w=600&q=80|https://images.unsplash.com/photo-1517256064527-09c53b2d0c6b?w=600&q=80|https://images.unsplash.com/photo-1540518614846-7eded433c457?w=600&q=80,Tủ quần áo chất liệu gỗ công nghiệp mdf phủ melamine mang lại vẻ đẹp tinh tế cho không gian ngôi nhà bạn.,Con hang,76cm x 47cm x 166cm,Gỗ công nghiệp MDF phủ Melamine,Ghi xám thanh lịch,36 tháng,Nhập khẩu nguyên kiện,"Sản phẩm Tủ quần áo sang trọng SP028 được sản xuất dựa trên tiêu chuẩn xuất khẩu nghiêm ngặt. Thiết kế đón đầu xu hướng nội thất thế giới, ưu tiên tính công năng và giải phóng diện tích. Bề mặt sản phẩm được xử lý tỉ mỉ, chống trầy xước và thích ứng tốt với độ ẩm cao."
